textID,text,selected_text,sentiment,temp_list,stemmed,lemmatized,label,token
28ac06f416, good luck with your auction,good luck with your auction,positive,"['good', 'luck', 'auction']","['good', 'luck', 'auction']","['good', 'luck', 'auction']",2,"['good', 'luck', 'auction']"
92098cf9a7,Hmm..You can`t judge a book by looking at its cover,Hmm..You can`t judge a book by looking at its cover,neutral,"['Hmm..You', 'can`t', 'judge', 'book', 'looking', 'cover']","['him', 'judg', 'book', 'look', 'cover']","['him', 'judge', 'book', 'look', 'cover']",1,"['him', 'judge', 'book', 'look', 'cover']"
7858ff28f2," Hello, yourself. Enjoy London. Watch out for the Hackneys. They`re mental.",They`re mental.,negative,"['Hello,', 'yourself.', 'Enjoy', 'London.', 'Watch', 'Hackneys.', 'They`re', 'mental.']","['hello', 'enjoy', 'london', 'watch', 'lackey', 's', 'mental']","['hello', 'enjoy', 'london', 'watch', 'lackey', 's', 'mental']",0,"['hello', 'enjoy', 'london', 'watch', 'lackey', 's', 'mental']"
b0c9c67f32,  We can`t even call you from belgium  sucks,m  suck,negative,"['We', 'can`t', 'even', 'call', 'belgium', 'sucks']","['even', 'call', 'belgium', 'suck']","['even', 'call', 'belgium', 'suck']",0,"['even', 'call', 'belgium', 'suck']"
7b36e9e7a5,not so good mood..,not so good mood..,negative,"['good', 'mood..']","['not', 'good', 'mood']","['not', 'good', 'mood']",0,"['not', 'good', 'mood']"
e158681396,Jumping im the shower after a long day of work  it shall feel ahmazing I CAN MATH!,ahmazing,positive,"['Jumping', 'im', 'shower', 'long', 'day', 'work', 'shall', 'feel', 'ahmazing', 'I', 'CAN', 'MATH!']","['jump', 'shower', 'long', 'day', 'work', 'shall', 'feel', 'ah', 'make', 'path']","['jumping', 'shower', 'long', 'day', 'work', 'shall', 'feel', 'ah', 'make', 'path']",2,"['jumping', 'shower', 'long', 'day', 'work', 'shall', 'feel', 'ah', 'make', 'path']"
cbee62d9e7, OK! Oops sorry,sorry,negative,"['OK!', 'Oops', 'sorry']","['loop', 'sorri']","['loop', 'sorry']",0,"['loop', 'sorry']"
a12462e5d2,"says Finally, Im home.  http://plurk.com/p/rr121","says Finally, Im home.",neutral,"['says', 'Finally,', 'Im', 'home.', 'http://plurk.com/p/rr121']","['say', 'final', 'home']","['say', 'finally', 'home']",1,"['say', 'finally', 'home']"
60aebb5378,"I am native, not french ! I hate this ! !  ! Trying to find animals in french, I SUCK, SOMEONE HELP PLEEEEEASE  ? Alone- Allison Iraheta ?","SUCK,",negative,"['I', 'native,', 'french', '!', 'I', 'hate', '!', '!', '!', 'Trying', 'find', 'animals', 'french,', 'I', 'SUCK,', 'SOMEONE', 'HELP', 'PLEEEEEASE', '?', 'Alone-', 'Allison', 'Iraheta', '?']","['nativ', 'not', 'french', 'hate', 'tri', 'find', 'anim', 'french', 'suck', 'someon', 'help', 'll', 'he', 'eas', 'alon', 'allison', 'era', 'he', 'a']","['native', 'not', 'french', 'hate', 'try', 'find', 'animal', 'french', 'suck', 'someone', 'help', 'll', 'he', 'ease', 'alone', 'allison', 'era', 'he', 'a']",0,"['native', 'not', 'french', 'hate', 'try', 'find', 'animal', 'french', 'suck', 'someone', 'help', 'll', 'he', 'ease', 'alone', 'allison', 'era', 'he', 'a']"
72beba1ba7, what a cute dog,what a cute dog,positive,"['cute', 'dog']","['cut', 'dog']","['cut', 'dog']",2,"['cut', 'dog']"
